10 1525 0.5
20 3290 0.8
30 5100 0.9666666666666667
40 7104 1.15
50 8929 1.18
60 10617 1.1333333333333333
70 12414 1.1285714285714286
80 14046 1.0625
90 16045 1.1444444444444444
100 18043 1.18
110 19864 1.25
120 21725 1.26
10 1668 0.9
20 3450 1.05
30 5203 1.0333333333333334
40 6736 0.9
50 8451 0.94
60 10257 1.0166666666666666
70 12213 1.1
80 14290 1.175
90 15972 1.1333333333333333
100 17814 1.16
110 19634 1.2
120 21568 1.24
130 23369 1.26
140 24947 1.28
150 26706 1.26
160 28492 1.23
170 30203 1.16
180 31874 1.09
190 33426 1.06
200 35196 1.02
210 36769 0.96
220 38627 0.91
230 40569 0.93
240 42312 0.97
250 43956 0.96
260 45749 0.96
270 47499 0.98
280 49278 0.99
290 51143 1.06
300 52937 1.07
310 54682 1.1
320 56333 1.06
330 57929 0.99
340 59664 0.98
350 61331 0.99
360 62942 0.95
370 64758 0.96
380 66255 0.89
390 67986 0.86
400 69514 0.79
410 71137 0.77
420 72773 0.78
430 74640 0.84
440 76347 0.82
450 77939 0.78
460 79676 0.79
470 81355 0.76
480 83315 0.88
490 84954 0.88
500 86781 0.96
510 88797 1.04
520 90511 1.05
530 92283 1.02
540 94129 1.07
550 95951 1.16
560 98122 1.27
570 99785 1.26
580 101608 1.22
590 103650 1.31
600 105298 1.27
610 107009 1.2
620 108881 1.25
630 110741 1.28
640 112641 1.29
650 114422 1.26
660 116311 1.2
670 118012 1.2
680 119876 1.23
690 121745 1.18
700 123499 1.2
710 125445 1.27
720 127020 1.2
730 128654 1.14
740 130289 1.07
750 132178 1.08
760 133901 1.05
